pl_name,hostname,hostname_canon,discoverymethod,discoverymethod_canon,disc_year,disc_year_int,disc_year_bad,disc_era,pl_orbper,pl_rade,pl_bmasse,pl_eqt,sy_dist,ra,dec
HD 168746 b,HD 168746,hd 168746,Radial Velocity,radial velocity,2002,2002,false,2000s,6.404,11.1,85.8141,900.0,41.5681,275.4573269,-11.9229757
CoRoT-3 b,CoRoT-3,corot-3,Transit,transit,2008,2008,false,2000s,4.2568,11.32,6883.91,1695.0,768.771,292.0552827,0.1218359
HD 205739 b,HD 205739,hd 205739,Radial Velocity,radial velocity,2008,2008,false,2000s,279.8,13.6,435.41,,92.5087,324.5351273,-31.7378373
HD 224693 b,HD 224693,hd 224693,Radial Velocity,radial velocity,2006,2006,false,2000s,26.6904,14.0,222.481,,93.5015,359.9749837,-22.4279999
HD 12661 b,HD 12661,hd 12661,Radial Velocity,radial velocity,2000,2000,false,2000s,262.70862,13.3,772.3269,,37.8478,31.1423525,25.4135632
2MASS J12073346-3932539 b,2MASS J12073346-3932539,2mass j12073346-3932539,Imaging,imaging,2004,2004,false,2000s,,12.9,1589.15,1250.0,64.308,181.8890906,-39.5484399
HD 16417 b,HD 16417,hd 16417,Radial Velocity,radial velocity,2008,2008,false,2000s,17.24,5.0,22.1,,25.3936,39.2441029,-34.5790905
HD 19994 b,HD 19994,hd 19994,Radial Velocity,radial velocity,2003,2003,false,2000s,466.2,13.6,435.41,,22.5242,48.1943193,-1.1963955
GJ 179 b,GJ 179,gj 179,Radial Velocity,radial velocity,2009,2009,false,2000s,2288.0,13.8,301.93698665,,12.356,73.0245495,6.4752347
GJ 832 b,GJ 832,gj 832,Radial Velocity,radial velocity,2008,2008,false,2000s,3853.0,13.8,314.65012293,,4.96435,323.3912616,-49.0125169
HD 37605 b,HD 37605,hd 37605,Radial Velocity,radial velocity,2004,2004,false,2000s,55.01292,13.2,854.9627,,46.7864,85.0074276,6.0595116
HD 33283 b,HD 33283,hd 33283,Radial Velocity,radial velocity,2006,2006,false,2000s,18.1991,12.5,104.56607,,89.8623,77.0044889,-26.7976689
HD 9446 b,HD 9446,hd 9446,Radial Velocity,radial velocity,2009,2009,false,2000s,30.052,14.0,222.472,,50.3503,23.3350424,29.2649187
HD 134987 c,HD 134987,hd 134987,Radial Velocity,radial velocity,2009,2009,false,2000s,5000.0,13.9,260.0,,26.1804,228.3675397,-25.3096721
HD 110014 b,HD 110014,hd 110014,Radial Velocity,radial velocity,2009,2009,false,2000s,835.477,12.4,3524.59,,100.758,189.8111935,-7.9956702
HD 45652 b,HD 45652,hd 45652,Radial Velocity,radial velocity,2008,2008,false,2000s,44.073,14.3,137.62039,,34.8541,97.3058709,10.9336212
