pl_name,hostname,hostname_canon,discoverymethod,discoverymethod_canon,disc_year,disc_year_int,disc_year_bad,disc_era,pl_orbper,pl_rade,pl_bmasse,pl_eqt,sy_dist,ra,dec
Kepler-1740 b,Kepler-1740,kepler-1740,Transit,transit,2021,2021,false,2020s,8.172400475,3.32321414,11.0,858.0,1061.77,293.873663,38.9224548
Kepler-1752 b,Kepler-1752,kepler-1752,Transit,transit,2021,2021,false,2020s,56.35850143,4.54060463,18.7,419.0,962.888,290.8541401,51.2227435
K2-335 b,K2-335,k2-335,Transit,transit,2021,2021,false,2020s,12.283211,2.21,5.52,949.0,557.993,129.3896679,16.5220648
Kepler-1600 c,Kepler-1600,kepler-1600,Transit,transit,2021,2021,false,2020s,7.298049927,1.94206512,4.43,786.0,1030.81,291.3993802,38.7877563
NGTS-10 b,NGTS-10,ngts-10,Transit,transit,2020,2020,false,2020s,0.7668944,13.506845,687.14846,1332.0,324.69865036,91.8722801,-25.5948963
HD 29985 b,HD 29985,hd 29985,Radial Velocity,radial velocity,2022,2022,false,2020s,20608.14049,12.8,1739.47487151,,31.2707,70.5216589,-33.9210696
Kepler-595 c,Kepler-595,kepler-595,Transit,transit,2020,2020,false,2020s,12.38602,1.009,3.3,679.0,643.009,294.5703593,50.6730147
HD 108236 f,HD 108236,hd 108236,Transit,transit,2021,2021,false,2020s,29.54115,2.017,4.72,,64.5978,186.5740627,-51.3630519
BD-210397 c,BD-210397,bd-210397,Radial Velocity,radial velocity,2023,2023,false,2020s,6240.0,12.9,1525.5763536,,23.7324,33.3024198,-21.1962147
HD 11506 d,HD 11506,hd 11506,Radial Velocity,radial velocity,2022,2022,false,2020s,26500.0,12.3,4068.2036096,,51.261,28.2106607,-19.507396
Kepler-1735 b,Kepler-1735,kepler-1735,Transit,transit,2021,2021,false,2020s,7.71792984,1.19429134,1.84,502.0,245.303,281.0503476,47.1882005
HD 66428 c,HD 66428,hd 66428,Radial Velocity,radial velocity,2021,2021,false,2020s,10478.84437,13.5,560.64930995,,53.2817,120.8691654,-1.1636019
KMT-2023-BLG-1896L b,KMT-2023-BLG-1896L,kmt-2023-blg-1896l,Microlensing,microlensing,2025,2025,false,2020s,,4.19,16.35,,5490.0,271.03175,-26.9589194
TOI-7510 d,TOI-7510,toi-7510,Transit,transit,2025,2025,false,2020s,48.864468,10.52,190.0,542.4,249.006,273.728188,-54.4340547
HD 3167 e,HD 3167,hd 3167,Radial Velocity,radial velocity,2022,2022,false,2020s,96.63,2.83,8.41,374.8,47.2899,8.7401487,4.3807215
